Blk,spp,time,composition,Plot,ANVI.action,SEPA.action,TRFL.action,PAAN.action,SCIN.action,SOPI.action,ANVI.outcome,SEPA.outcome,TRFL.outcome,PAAN.outcome,SCIN.outcome,SOPI.outcome,PlantS,S5,percov,Div,Res,divXres,n.plants
3,ANVI,3,ANVIM,3ANVIMOO 2014,1,0,0,0,0,0,1,0,0,0,0,0,13,4,0.437213806385581,0,0,0,5
3,ANVI,3,ANVIM,3ANVIMRO 2014,1,0,0,0,0,0,1,0,0,0,0,0,5,2,0.942958978971338,0,1,0,3
3,SOPI,3,SOPIP,3SOPIPRO 2014,1,1,1,1,1,0,1,1,1,1,1,0,13,6,1.25708262944916,1,1,1,4
3,SCIN,3,SCINP,3SCINPOO 2014,1,1,1,1,0,1,1,1,1,1,0,1,11,4.33433433433433,0.903711949610214,1,0,0,6
3,SEPA,3,SEPAP,3SEPAPRO 2014,1,0,1,1,1,1,1,0,1,1,1,1,9,5,0.15415067998202,1,1,1,5
3,ANVI,3,ANVIP,3ANVIPRO 2014,0,1,1,1,1,1,0,1,1,1,1,1,9,2,1.0908301482478,1,1,1,4
3,SOPI,3,SOPIP,3SOPIPOO 2014,1,1,1,1,1,0,1,1,1,1,1,0,11,6,0.317095957652915,1,0,0,4
3,TRFL,3,TRFLP,3TRFLPOO 2014,1,1,0,1,1,1,1,1,0,1,1,1,13,3.5025025025025,-0.379489621704904,1,0,0,6
3,SCIN,3,SCINM,3SCINMRO 2014,0,0,0,0,1,0,0,0,0,0,1,0,9,6,0.796331416845645,0,1,0,4
3,PAAN,3,PAANM,3PAANMRO 2014,0,0,0,1,0,0,0,0,0,1,0,0,14,6,-0.189756535292381,0,1,0,4
3,PAAN,3,PAANP,3PAANPRO 2014,1,1,1,0,1,1,1,1,1,0,1,1,9,3,1.97716269276181,1,1,1,2
3,SEPA,3,SEPAM,3SEPAMOO 2014,0,1,0,0,0,0,0,1,0,0,0,0,14,6,1.68948062044328,0,0,0,4
3,SOPI,3,SOPIM,3SOPIMRO 2014,0,0,0,0,0,1,0,0,0,0,0,1,5,2,4.30791866616862,0,1,0,2
3,SEPA,3,SEPAP,3SEPAPOO 2014,1,0,1,1,1,1,1,0,1,1,1,1,17,3.12312312312312,-1.13401421589049,1,0,0,7
3,TRFL,3,TRFLM,3TRFLMOO 2014,0,0,1,0,0,0,0,0,1,0,0,0,11,6,1.405342555899,0,0,0,5
3,TRFL,3,TRFLP,3TRFLPRO 2014,1,1,0,1,1,1,1,1,0,1,1,1,10,1,0.762140051963087,1,1,1,5
4,SEPA,3,SEPAP,4SEPAPOO 2014,1,0,1,1,1,1,1,0,1,1,1,1,13,6.04304304304304,-0.310154928209294,1,0,0,7
4,PAAN,3,PAANM,4PAANMOO 2014,0,0,0,1,0,0,0,0,0,1,0,0,14,4.3043043043043,-0.871554837917527,0,0,0,8
4,ANVI,3,ANVIM,4ANVIMOO 2014,1,0,0,0,0,0,1,0,0,0,0,0,12,3,0.477489203432877,0,0,0,4
4,SOPI,3,SOPIP,4SOPIPOO 2014,1,1,1,1,1,0,1,1,1,1,1,0,11,5,-1.18098328632303,1,0,0,5
4,PAAN,3,PAANP,4PAANPRO 2014,1,1,1,0,1,1,1,1,1,0,1,1,10,6,0.67512867501415,1,1,1,5
4,ANVI,3,ANVIP,4ANVIPRO 2014,0,1,1,1,1,1,0,1,1,1,1,1,8,6,-0.0285733722725927,1,1,1,5
4,SCIN,3,SCINM,4SCINMRO 2014,0,0,0,0,1,0,0,0,0,0,1,0,11,5,1.86075234084707,0,1,0,5
4,TRFL,3,TRFLP,4TRFLPRO 2014,1,1,0,1,1,1,1,1,0,1,1,1,9,2,0.746069581914938,1,1,1,4
4,TRFL,3,TRFLM,4TRFLMOO 2014,0,0,1,0,0,0,0,0,1,0,0,0,7,3,1.15976671192795,0,0,0,3
4,SOPI,3,SOPIM,4SOPIMRO 2014,0,0,0,0,0,1,0,0,0,0,0,1,11,3,-0.819779831274351,0,1,0,5
4,SEPA,3,SEPAM,4SEPAMOO 2014,0,1,0,0,0,0,0,1,0,0,0,0,16,2,-1.53916871672201,0,0,0,4
4,SOPI,3,SOPIM,4SOPIMOO 2014,0,0,0,0,0,1,0,0,0,0,0,1,13,4.16616616616617,-0.54430155296238,0,0,0,6
4,SCIN,3,SCINP,4SCINPOO 2014,1,1,1,1,0,1,1,1,1,1,0,1,12,3.37437437437437,-0.829279354669071,1,0,0,6
4,SEPA,3,SEPAP,4SEPAPRO 2014,1,0,1,1,1,1,1,0,1,1,1,1,13,3.39439439439439,0.0482021019336077,1,1,1,8
4,SCIN,3,SCINM,4SCINMOO 2014,0,0,0,0,1,0,0,0,0,0,1,0,7,3,-1.23676262714893,0,0,0,4
4,TRFL,3,TRFLP,4TRFLPOO 2014,1,1,0,1,1,1,1,1,0,1,1,1,13,3,-1.19587559424877,1,0,0,5
4,PAAN,3,PAANM,4PAANMRO 2014,0,0,0,1,0,0,0,0,0,1,0,0,13,4.31631631631632,-0.204794412794498,0,1,0,6
4,SEPA,3,SEPAM,4SEPAMRO 2014,0,1,0,0,0,0,0,1,0,0,0,0,11,6,1.52242653552568,0,1,0,5
4,SCIN,3,SCINP,4SCINPRO 2014,1,1,1,1,0,1,1,1,1,1,0,1,11,3,-0.89199803939534,1,1,1,4
4,TRFL,3,TRFLM,4TRFLMRO 2014,0,0,1,0,0,0,0,0,1,0,0,0,7,6,0.964022134854968,0,1,0,5
4,SOPI,3,SOPIP,4SOPIPRO 2014,1,1,1,1,1,0,1,1,1,1,1,0,9,5,0.727048732368615,1,1,1,4
4,ANVI,3,ANVIP,4ANVIPOO 2014,0,1,1,1,1,1,0,1,1,1,1,1,12,4.21121121121121,-0.810930216180218,1,0,0,6
4,ANVI,3,ANVIM,4ANVIMRO 2014,1,0,0,0,0,0,1,0,0,0,0,0,7,3,1.47810191046748,0,1,0,2
4,PAAN,3,PAANP,4PAANPOO 2014,1,1,1,0,1,1,1,1,1,0,1,1,17,3.80680680680681,-1.58045037568144,1,0,0,7
5,SEPA,3,SEPAP,5SEPAPRO 2014,1,0,1,1,1,1,1,0,1,1,1,1,12,5.84084084084084,-0.739238287793665,1,1,1,6
5,TRFL,3,TRFLM,5TRFLMOO 2014,0,0,1,0,0,0,0,0,1,0,0,0,12,2.50650650650651,-1.34707364826707,0,0,0,6
5,ANVI,3,ANVIP,5ANVIPRO 2014,0,1,1,1,1,1,0,1,1,1,1,1,11,4,-1.60200293361728,1,1,1,3
5,SCIN,3,SCINM,5SCINMOO 2014,0,0,0,0,1,0,0,0,0,0,1,0,13,2,-1.6550484235869,0,0,0,4
5,SOPI,3,SOPIM,5SOPIMRO 2014,0,0,0,0,0,1,0,0,0,0,0,1,13,6,-1.46325540233483,0,1,0,5
5,SOPI,3,SOPIP,5SOPIPRO 2014,1,1,1,1,1,0,1,1,1,1,1,0,11,3,0.250294540445429,1,1,1,4
5,ANVI,3,ANVIM,5ANVIMRO 2014,1,0,0,0,0,0,1,0,0,0,0,0,8,6,0.996333439793012,0,1,0,4
5,PAAN,3,PAANM,5PAANMOO 2014,0,0,0,1,0,0,0,0,0,1,0,0,11,3,-1.94193400039935,0,0,0,4
5,SCIN,3,SCINP,5SCINPOO 2014,1,1,1,1,0,1,1,1,1,1,0,1,14,3.34934934934935,-0.340926586906427,1,0,0,6
5,PAAN,3,PAANM,5PAANMRO 2014,0,0,0,1,0,0,0,0,0,1,0,0,10,3,0.827737334722692,0,1,0,5
5,TRFL,3,TRFLM,5TRFLMRO 2014,0,0,1,0,0,0,0,0,1,0,0,0,8,3,1.03798766705082,0,1,0,3
5,SEPA,3,SEPAP,5SEPAPOO 2014,1,0,1,1,1,1,1,0,1,1,1,1,11,5,-0.344269546968889,1,0,0,5
5,SEPA,3,SEPAM,5SEPAMOO 2014,0,1,0,0,0,0,0,1,0,0,0,0,10,4,-1.48160454082603,0,0,0,4
5,PAAN,3,PAANP,5PAANPOO 2014,1,1,1,0,1,1,1,1,1,0,1,1,12,5,-0.763764747609431,1,0,0,5
5,TRFL,3,TRFLP,5TRFLPRO 2014,1,1,0,1,1,1,1,1,0,1,1,1,11,3,0.470003629310736,1,1,1,4
5,PAAN,3,PAANP,5PAANPRO 2014,1,1,1,0,1,1,1,1,1,0,1,1,8,3,-0.606135803441528,1,1,1,5
5,ANVI,3,ANVIM,5ANVIMOO 2014,1,0,0,0,0,0,1,0,0,0,0,0,9,4,1.06087196090962,0,0,0,4
5,SEPA,3,SEPAM,5SEPAMRO 2014,0,1,0,0,0,0,0,1,0,0,0,0,11,5,1.35239280916731,0,1,0,4
5,SOPI,3,SOPIP,5SOPIPOO 2014,1,1,1,1,1,0,1,1,1,1,1,0,17,5,-0.80056742896865,1,0,0,5
5,TRFL,3,TRFLP,5TRFLPOO 2014,1,1,0,1,1,1,1,1,0,1,1,1,12,3,-2.49182709261994,1,0,0,5
5,ANVI,3,ANVIP,5ANVIPOO 2014,0,1,1,1,1,1,0,1,1,1,1,1,14,4,-0.889262059594409,1,0,0,5
5,SOPI,3,SOPIM,5SOPIMOO 2014,0,0,0,0,0,1,0,0,0,0,0,1,17,4.97797797797798,-0.526450941839414,0,0,0,6
5,SCIN,3,SCINP,5SCINPRO 2014,1,1,1,1,0,1,1,1,1,1,0,1,11,3,-0.299242894678719,1,1,1,5
5,SCIN,3,SCINM,5SCINMRO 2014,0,0,0,0,1,0,0,0,0,0,1,0,8,5,-0.116259806258278,0,1,0,4
