Blk,spp,time,composition,Plot,ANVI.action,SEPA.action,TRFL.action,PAAN.action,SCIN.action,SOPI.action,ANVI.outcome,SEPA.outcome,TRFL.outcome,PAAN.outcome,SCIN.outcome,SOPI.outcome,PlantS,S5,percov,Div,Res,divXres,n.plants
4,ANVI,1,ANVIP,4ANVIPOO 2012,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
4,ANVI,1,ANVIP,4ANVIPRO 2012,0,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
4,PAAN,1,PAANM,4PAANMOO 2012,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
4,PAAN,1,PAANM,4PAANMRO 2012,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
4,PAAN,1,PAANP,4PAANPOO 2012,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
4,PAAN,1,PAANP,4PAANPRO 2012,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
4,SCIN,1,SCINM,4SCINMOO 2012,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
4,SCIN,1,SCINM,4SCINMRO 2012,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
4,SCIN,1,SCINP,4SCINPOO 2012,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
4,SCIN,1,SCINP,4SCINPRO 2012,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
4,SEPA,1,SEPAM,4SEPAMOO 2012,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
4,SEPA,1,SEPAM,4SEPAMRO 2012,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
4,SEPA,1,SEPAP,4SEPAPOO 2012,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
4,SEPA,1,SEPAP,4SEPAPRO 2012,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
4,SOPI,1,SOPIM,4SOPIMOO 2012,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
4,SOPI,1,SOPIM,4SOPIMRO 2012,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
4,SOPI,1,SOPIP,4SOPIPOO 2012,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
